episode,steps,return
1,200,-650.0
2,200,-650.0
3,200,-542.0
4,200,-362.0
5,200,-623.0
6,200,-668.0
7,200,-641.0
8,200,-398.0
9,200,-425.0
10,200,-272.0
11,200,-488.0
12,200,-497.0
13,102,-180.0
14,200,-515.0
15,200,-632.0
16,200,-470.0
17,200,-254.0
18,200,-371.0
19,200,-245.0
20,200,-245.0
21,189,-528.0
22,197,-383.0
23,200,-326.0
24,200,-542.0
25,83,-89.0
26,200,-308.0
27,200,-218.0
28,200,-272.0
29,175,-289.0
30,200,-254.0
31,200,-641.0
32,200,-245.0
33,200,-254.0
34,178,-220.0
35,36,-15.0
36,200,-272.0
37,200,-596.0
38,200,-308.0
39,200,-290.0
40,200,-668.0
41,200,-272.0
42,200,-263.0
43,200,-263.0
44,200,-272.0
45,105,-129.0
46,200,-245.0
47,150,-192.0
48,200,-218.0
49,200,-263.0
50,200,-254.0
51,70,-85.0
52,200,-263.0
53,200,-254.0
54,200,-272.0
55,200,-290.0
56,160,-292.0
57,200,-272.0
58,197,-230.0
59,200,-254.0
60,200,-272.0
61,200,-245.0
62,178,-211.0
63,200,-290.0
64,200,-299.0
65,56,-35.0
66,200,-254.0
67,200,-281.0
68,200,-353.0
69,166,-172.0
70,200,-290.0
71,125,-167.0
72,200,-227.0
73,200,-263.0
74,200,-371.0
75,64,-43.0
76,189,-249.0
77,200,-353.0
78,47,-35.0
79,149,-218.0
80,200,-236.0
81,165,-162.0
82,200,-263.0
83,170,-257.0
84,54,-42.0
85,10,11.0
86,137,-179.0
87,200,-308.0
88,200,-245.0
89,200,-416.0
90,200,-515.0
91,189,-267.0
92,200,-281.0
93,200,-227.0
94,200,-245.0
95,166,-244.0
96,200,-263.0
97,84,-63.0
98,200,-245.0
99,200,-272.0
100,200,-254.0
101,125,-149.0
102,139,-217.0
103,200,-299.0
104,200,-317.0
105,127,-241.0
106,200,-398.0
107,200,-353.0
108,200,-308.0
109,10,2.0
110,102,-99.0
111,152,-158.0
112,41,-29.0
113,191,-269.0
114,85,-100.0
115,115,-130.0
116,121,-109.0
117,91,-115.0
118,140,-155.0
119,151,-211.0
120,66,-99.0
121,200,-479.0
122,50,-65.0
123,194,-290.0
124,83,-80.0
125,156,-252.0
126,122,-146.0
127,149,-182.0
128,159,-237.0
129,200,-362.0
130,191,-188.0
131,139,-226.0
132,137,-143.0
133,134,-203.0
134,200,-236.0
135,200,-281.0
136,42,-30.0
137,124,-139.0
138,200,-272.0
139,71,-77.0
140,180,-195.0
141,200,-281.0
142,94,-82.0
143,191,-305.0
144,149,-191.0
145,189,-195.0
146,188,-221.0
147,36,-24.0
148,173,-359.0
149,170,-185.0
150,59,-65.0
151,125,-257.0
152,200,-272.0
153,37,-16.0
154,106,-148.0
155,148,-163.0
156,71,-95.0
157,105,-183.0
158,121,-181.0
159,200,-326.0
160,141,-219.0
161,191,-242.0
162,100,-88.0
163,135,-186.0
164,200,-245.0
165,55,-34.0
166,45,-51.0
167,8,13.0
168,106,-112.0
169,187,-211.0
170,55,-43.0
171,69,-66.0
172,123,-138.0
173,43,-22.0
174,47,-26.0
175,200,-290.0
176,124,-148.0
177,111,-99.0
178,115,-112.0
179,193,-208.0
180,200,-254.0
181,23,-2.0
182,137,-179.0
183,62,-68.0
184,79,-85.0
185,200,-290.0
186,124,-139.0
187,127,-151.0
188,85,-64.0
189,93,-99.0
190,73,-61.0
191,30,-36.0
192,21,-9.0
193,85,-82.0
194,127,-178.0
195,28,-7.0
196,137,-143.0
197,110,-134.0
198,136,-178.0
199,111,-108.0
200,10,11.0
201,113,-110.0
202,132,-174.0
203,23,-11.0
204,92,-125.0
205,74,-89.0
206,93,-81.0
207,55,-70.0
208,158,-164.0
209,52,-40.0
210,17,-5.0
211,130,-181.0
212,93,-126.0
213,11,1.0
214,41,-47.0
215,104,-110.0
216,200,-290.0
217,41,-47.0
218,98,-86.0
219,82,-97.0
220,153,-159.0
221,178,-328.0
222,16,5.0
223,14,7.0
224,21,0.0
225,7,14.0
226,75,-63.0
227,43,-49.0
228,33,-12.0
229,148,-235.0
230,75,-126.0
231,111,-108.0
232,188,-185.0
233,39,-36.0
234,124,-139.0
235,6,15.0
236,28,-7.0
237,144,-150.0
238,168,-255.0
239,27,-6.0
240,9,12.0
241,182,-224.0
242,134,-185.0
243,96,-111.0
244,16,5.0
245,14,-2.0
246,36,-15.0
247,128,-170.0
248,80,-104.0
249,22,-1.0
250,66,-81.0
251,80,-77.0
252,33,-30.0
253,38,-26.0
254,51,-57.0
255,147,-261.0
256,89,-104.0
257,130,-127.0
258,28,-16.0
259,102,-135.0
260,38,-17.0
261,11,1.0
262,64,-52.0
263,142,-148.0
264,49,-46.0
265,81,-96.0
266,76,-64.0
267,34,-22.0
268,15,6.0
269,26,-23.0
270,18,3.0
271,114,-165.0
272,53,-41.0
273,131,-137.0
274,143,-158.0
275,10,11.0
276,92,-107.0
277,9,12.0
278,111,-117.0
279,117,-141.0
280,49,-28.0
281,60,-48.0
282,200,-290.0
283,9,12.0
284,122,-137.0
285,113,-155.0
286,131,-209.0
287,133,-175.0
288,104,-137.0
289,162,-195.0
290,9,12.0
291,25,-13.0
292,54,-60.0
293,93,-126.0
294,192,-261.0
295,75,-99.0
296,36,-33.0
297,11,10.0
298,14,-2.0
299,9,12.0
300,44,-59.0
301,13,8.0
302,146,-143.0
303,68,-74.0
304,18,3.0
305,104,-146.0
306,106,-121.0
307,74,-62.0
308,17,-14.0
309,19,-7.0
310,18,3.0
311,26,-23.0
312,75,-72.0
