episode,steps,return
1,200,-686.0
2,200,-677.0
3,200,-614.0
4,150,-507.0
5,200,-650.0
6,200,-641.0
7,200,-641.0
8,200,-479.0
9,200,-614.0
10,200,-524.0
11,200,-533.0
12,200,-434.0
13,92,-152.0
14,200,-677.0
15,200,-641.0
16,200,-470.0
17,200,-461.0
18,200,-389.0
19,200,-353.0
20,199,-502.0
21,200,-677.0
22,200,-578.0
23,200,-506.0
24,200,-596.0
25,200,-416.0
26,200,-344.0
27,154,-295.0
28,200,-389.0
29,162,-258.0
30,200,-380.0
31,200,-686.0
32,200,-389.0
33,200,-479.0
34,200,-371.0
35,200,-344.0
36,200,-461.0
37,200,-587.0
38,200,-326.0
39,200,-407.0
40,200,-578.0
41,23,-29.0
42,200,-542.0
43,200,-362.0
44,200,-380.0
45,200,-425.0
46,200,-344.0
47,85,-127.0
48,200,-389.0
49,179,-257.0
50,200,-425.0
51,200,-425.0
52,200,-407.0
53,200,-380.0
54,200,-407.0
55,200,-362.0
56,108,-204.0
57,200,-371.0
58,200,-335.0
59,200,-380.0
60,200,-425.0
61,200,-452.0
62,200,-407.0
63,200,-335.0
64,200,-344.0
65,200,-353.0
66,200,-362.0
67,172,-277.0
68,149,-263.0
69,200,-425.0
70,68,-164.0
71,200,-362.0
72,200,-326.0
73,200,-398.0
74,186,-336.0
75,95,-227.0
76,200,-353.0
77,200,-407.0
78,131,-155.0
79,200,-416.0
80,200,-398.0
81,92,-143.0
82,200,-425.0
83,200,-416.0
84,126,-204.0
85,83,-134.0
86,200,-380.0
87,107,-248.0
88,200,-407.0
89,200,-380.0
90,194,-371.0
91,200,-344.0
92,200,-371.0
93,200,-416.0
94,200,-362.0
95,83,-116.0
96,200,-407.0
97,200,-353.0
98,200,-407.0
99,200,-335.0
100,191,-305.0
101,34,-13.0
102,200,-416.0
103,200,-407.0
104,200,-407.0
105,200,-362.0
106,200,-308.0
107,200,-353.0
108,50,-92.0
109,200,-380.0
110,200,-380.0
111,160,-247.0
112,200,-380.0
113,200,-362.0
114,200,-371.0
115,200,-362.0
116,159,-264.0
117,200,-380.0
118,167,-308.0
119,85,-127.0
120,200,-434.0
121,200,-398.0
122,155,-287.0
123,186,-399.0
124,200,-353.0
125,200,-389.0
126,107,-176.0
127,200,-353.0
128,182,-323.0
129,200,-353.0
130,102,-153.0
131,91,-133.0
132,70,-121.0
133,200,-344.0
