episode,steps,return
1,200,-650.0
2,200,-677.0
3,200,-668.0
4,200,-533.0
5,200,-686.0
6,200,-605.0
7,200,-650.0
8,200,-407.0
9,200,-533.0
10,182,-386.0
11,200,-434.0
12,200,-317.0
13,200,-326.0
14,200,-686.0
15,200,-641.0
16,200,-479.0
17,200,-371.0
18,200,-353.0
19,200,-245.0
20,200,-335.0
21,129,-378.0
22,200,-380.0
23,200,-308.0
24,200,-479.0
25,192,-324.0
26,200,-371.0
27,200,-326.0
28,140,-200.0
29,200,-254.0
30,200,-362.0
31,200,-668.0
32,200,-344.0
33,200,-344.0
34,200,-335.0
35,200,-308.0
36,200,-326.0
37,200,-623.0
38,200,-299.0
39,200,-290.0
40,200,-632.0
41,162,-213.0
42,200,-515.0
43,200,-299.0
44,87,-93.0
45,200,-299.0
46,45,-60.0
47,92,-143.0
48,200,-308.0
49,200,-299.0
50,200,-299.0
51,71,-185.0
52,200,-362.0
53,200,-308.0
54,200,-308.0
55,186,-381.0
56,200,-308.0
57,200,-362.0
58,200,-353.0
59,200,-425.0
60,200,-398.0
61,200,-317.0
62,200,-362.0
63,200,-317.0
64,200,-434.0
65,159,-255.0
66,200,-344.0
67,200,-398.0
68,89,-131.0
69,200,-335.0
70,200,-281.0
71,96,-138.0
72,192,-198.0
73,200,-443.0
74,200,-362.0
75,200,-371.0
76,200,-281.0
77,200,-407.0
78,60,-93.0
79,200,-299.0
80,200,-317.0
81,200,-254.0
82,188,-284.0
83,200,-326.0
84,200,-389.0
85,16,-4.0
86,116,-167.0
87,136,-223.0
88,200,-281.0
89,147,-225.0
90,200,-353.0
91,200,-371.0
92,98,-158.0
93,200,-344.0
94,200,-299.0
95,200,-272.0
96,200,-371.0
97,163,-214.0
98,200,-353.0
99,200,-326.0
100,124,-157.0
101,44,-41.0
102,200,-308.0
103,99,-96.0
104,200,-335.0
105,200,-425.0
106,200,-317.0
107,200,-299.0
108,200,-317.0
109,41,-56.0
110,200,-254.0
111,200,-344.0
112,200,-335.0
113,200,-362.0
114,200,-398.0
115,37,-34.0
116,116,-185.0
117,132,-165.0
118,200,-389.0
119,59,-65.0
120,200,-362.0
121,200,-380.0
122,125,-230.0
123,200,-326.0
124,200,-326.0
125,200,-398.0
126,133,-193.0
127,200,-299.0
128,200,-362.0
129,200,-344.0
130,90,-114.0
131,57,-54.0
132,200,-326.0
133,172,-223.0
134,200,-308.0
135,200,-299.0
136,200,-335.0
137,200,-299.0
138,200,-344.0
139,200,-290.0
140,200,-353.0
141,176,-290.0
142,48,-63.0
143,200,-362.0
144,154,-268.0
145,200,-308.0
146,200,-353.0
147,104,-119.0
148,200,-344.0
149,138,-198.0
150,140,-173.0
151,200,-326.0
152,200,-335.0
153,200,-308.0
154,178,-220.0
155,155,-260.0
156,178,-274.0
157,58,-73.0
158,149,-164.0
159,71,-59.0
160,200,-353.0
161,73,-115.0
162,200,-344.0
163,99,-105.0
164,175,-208.0
165,200,-389.0
166,165,-234.0
167,55,-61.0
168,147,-216.0
169,189,-240.0
170,200,-344.0
171,200,-290.0
172,160,-238.0
173,200,-317.0
174,78,-111.0
175,200,-380.0
176,189,-348.0
177,130,-145.0
178,109,-124.0
179,194,-290.0
180,200,-308.0
181,62,-95.0
182,200,-290.0
183,176,-209.0
184,159,-219.0
185,200,-335.0
186,73,-97.0
187,138,-180.0
188,200,-344.0
189,160,-283.0
190,200,-371.0
191,200,-290.0
192,54,-60.0
193,200,-299.0
194,193,-280.0
195,163,-241.0
196,139,-190.0
197,172,-241.0
198,200,-308.0
199,95,-119.0
200,200,-398.0
201,200,-335.0
202,158,-191.0
203,178,-265.0
204,200,-344.0
205,91,-151.0
206,200,-362.0
207,188,-248.0
208,200,-326.0
209,15,-12.0
210,200,-389.0
211,200,-290.0
212,121,-163.0
213,72,-69.0
214,98,-104.0
215,200,-335.0
216,80,-113.0
217,46,-79.0
218,200,-335.0
219,200,-326.0
220,200,-317.0
221,185,-290.0
222,144,-150.0
223,65,-62.0
224,156,-252.0
225,19,2.0
226,161,-266.0
227,200,-254.0
228,164,-215.0
229,200,-326.0
230,44,-50.0
231,200,-299.0
232,200,-362.0
233,53,-59.0
234,200,-326.0
235,19,-7.0
236,66,-63.0
237,68,-101.0
238,121,-172.0
239,200,-344.0
240,44,-50.0
241,123,-183.0
242,200,-344.0
243,146,-206.0
244,139,-172.0
245,200,-326.0
246,196,-337.0
247,186,-273.0
248,93,-126.0
249,200,-326.0
250,200,-272.0
251,158,-236.0
252,104,-137.0
253,132,-201.0
254,115,-148.0
255,200,-344.0
256,157,-235.0
257,191,-260.0
258,22,-1.0
259,99,-96.0
260,193,-325.0
261,158,-254.0
262,200,-299.0
263,102,-144.0
264,150,-228.0
265,184,-289.0
266,148,-199.0
267,200,-335.0
268,43,-49.0
269,77,-101.0
270,200,-371.0
271,200,-290.0
272,98,-140.0
273,200,-317.0
274,196,-274.0
275,77,-83.0
276,106,-112.0
277,124,-121.0
278,134,-194.0
279,194,-308.0
280,123,-174.0
281,188,-293.0
282,200,-281.0
283,14,-11.0
284,75,-99.0
285,90,-150.0
286,126,-159.0
287,200,-326.0
288,109,-142.0
289,162,-258.0
290,111,-180.0
291,26,-23.0
292,146,-215.0
293,46,-61.0
294,200,-344.0
295,200,-344.0
296,120,-189.0
297,15,-12.0
298,41,-29.0
299,162,-249.0
300,200,-299.0
301,177,-264.0
302,200,-335.0
303,94,-127.0
