episode,steps,return
1,200,-668.0
2,200,-614.0
3,200,-596.0
4,200,-641.0
5,200,-623.0
6,200,-614.0
7,200,-596.0
8,200,-335.0
9,194,-506.0
10,185,-398.0
11,200,-497.0
12,200,-317.0
13,200,-227.0
14,200,-461.0
15,200,-587.0
16,149,-326.0
17,200,-308.0
18,200,-236.0
19,200,-245.0
20,200,-299.0
21,200,-497.0
22,200,-317.0
23,200,-308.0
24,200,-497.0
25,119,-161.0
26,200,-281.0
27,200,-254.0
28,191,-278.0
29,200,-236.0
30,200,-254.0
31,200,-587.0
32,200,-263.0
33,200,-227.0
34,120,-126.0
35,90,-87.0
36,200,-272.0
37,200,-533.0
38,200,-254.0
39,200,-236.0
40,200,-695.0
41,200,-272.0
42,87,-129.0
43,200,-263.0
44,99,-123.0
45,200,-263.0
46,200,-254.0
47,55,-52.0
48,200,-263.0
49,123,-129.0
50,200,-452.0
51,200,-272.0
52,200,-326.0
53,150,-183.0
54,200,-236.0
55,200,-470.0
56,190,-241.0
57,200,-263.0
58,200,-290.0
59,97,-130.0
60,200,-371.0
61,200,-245.0
62,200,-227.0
63,200,-344.0
64,200,-353.0
65,150,-210.0
66,200,-209.0
67,200,-362.0
68,200,-290.0
69,200,-236.0
70,200,-245.0
71,107,-113.0
72,200,-254.0
73,200,-281.0
74,200,-398.0
75,132,-138.0
76,139,-154.0
77,142,-274.0
78,42,-39.0
79,35,-23.0
80,200,-380.0
81,109,-133.0
82,178,-211.0
83,200,-344.0
84,145,-214.0
85,184,-271.0
86,78,-138.0
87,200,-272.0
88,200,-227.0
89,200,-281.0
90,126,-231.0
91,113,-146.0
92,200,-353.0
93,200,-272.0
94,200,-209.0
95,200,-281.0
96,116,-140.0
97,84,-99.0
98,199,-223.0
99,173,-161.0
100,76,-82.0
101,111,-126.0
102,200,-272.0
103,25,-22.0
104,200,-263.0
105,126,-195.0
106,200,-326.0
107,200,-290.0
108,200,-353.0
109,12,9.0
110,98,-95.0
111,200,-245.0
112,175,-208.0
113,195,-264.0
114,200,-245.0
115,21,-9.0
116,173,-197.0
117,190,-259.0
118,179,-266.0
119,200,-263.0
120,200,-389.0
121,200,-263.0
122,200,-380.0
123,200,-425.0
124,144,-222.0
125,200,-359.0
126,93,-117.0
127,200,-344.0
128,177,-219.0
129,115,-148.0
130,156,-171.0
131,18,3.0
132,56,-62.0
133,132,-165.0
134,200,-236.0
135,197,-203.0
136,83,-89.0
137,183,-270.0
138,159,-201.0
139,24,-3.0
140,200,-254.0
141,134,-131.0
142,19,-7.0
143,144,-159.0
144,140,-245.0
145,200,-245.0
146,200,-263.0
147,34,-40.0
148,200,-299.0
149,86,-74.0
150,152,-158.0
151,122,-245.0
152,63,-42.0
153,189,-231.0
154,81,-87.0
155,103,-118.0
156,93,-135.0
157,88,-94.0
158,110,-143.0
159,109,-124.0
160,66,-90.0
161,199,-241.0
162,200,-245.0
163,120,-108.0
164,87,-66.0
165,66,-45.0
166,135,-186.0
167,7,14.0
168,123,-138.0
169,152,-149.0
170,119,-107.0
171,56,-62.0
172,180,-186.0
173,119,-170.0
174,187,-229.0
175,97,-103.0
176,107,-122.0
177,190,-223.0
178,110,-116.0
179,43,-40.0
180,104,-119.0
181,24,-12.0
182,87,-84.0
183,14,-2.0
184,36,-24.0
185,200,-263.0
186,144,-231.0
187,126,-213.0
188,97,-121.0
189,70,-76.0
190,200,-281.0
191,94,-109.0
192,106,-112.0
193,200,-281.0
194,41,-56.0
195,23,-11.0
196,200,-272.0
197,165,-243.0
198,66,-63.0
199,172,-205.0
200,13,-1.0
201,55,-52.0
202,200,-245.0
203,29,-17.0
204,29,-26.0
205,106,-157.0
206,18,3.0
207,108,-159.0
208,83,-89.0
209,16,5.0
210,55,-34.0
211,101,-98.0
212,116,-158.0
213,76,-64.0
214,99,-87.0
215,139,-181.0
216,113,-110.0
217,56,-62.0
218,64,-61.0
219,64,-70.0
220,120,-171.0
221,88,-94.0
222,9,12.0
223,12,9.0
224,31,-28.0
225,7,14.0
226,10,11.0
227,140,-272.0
228,128,-161.0
229,200,-299.0
230,95,-128.0
231,68,-83.0
232,65,-62.0
233,62,-59.0
234,150,-183.0
235,6,15.0
236,34,-31.0
237,35,-14.0
238,87,-75.0
239,12,9.0
240,14,-2.0
241,66,-81.0
242,200,-335.0
243,91,-88.0
244,21,-18.0
245,24,-3.0
246,47,-44.0
247,118,-178.0
248,46,-52.0
249,185,-272.0
250,36,-33.0
251,42,-39.0
252,100,-115.0
253,100,-115.0
254,92,-98.0
255,67,-91.0
256,141,-156.0
257,143,-185.0
258,44,-68.0
259,99,-114.0
260,46,-34.0
261,11,10.0
262,68,-47.0
263,118,-142.0
264,24,-12.0
265,57,-54.0
266,131,-146.0
267,11,10.0
268,38,-35.0
269,80,-68.0
270,16,-4.0
271,90,-87.0
272,36,-51.0
273,101,-125.0
274,111,-135.0
275,10,-7.0
276,45,-60.0
277,9,12.0
278,108,-141.0
279,130,-154.0
280,110,-125.0
281,163,-259.0
282,178,-211.0
283,10,11.0
284,43,-67.0
285,31,-10.0
286,49,-64.0
287,200,-317.0
288,137,-224.0
289,154,-142.0
290,9,12.0
291,29,-17.0
292,19,2.0
293,9,12.0
294,22,-1.0
295,154,-151.0
296,94,-145.0
297,10,11.0
298,15,6.0
299,9,12.0
300,48,-36.0
301,23,-11.0
302,137,-143.0
303,83,-80.0
304,85,-73.0
305,84,-90.0
306,95,-137.0
307,78,-102.0
308,17,4.0
309,17,4.0
310,28,-7.0
311,80,-77.0
312,150,-138.0
313,118,-142.0
314,51,-84.0
315,45,-33.0
316,50,-56.0
317,29,-8.0
318,25,-4.0
319,93,-99.0
320,74,-62.0
321,43,-22.0
322,23,-20.0
323,100,-133.0
324,10,11.0
325,79,-76.0
326,19,2.0
327,56,-80.0
328,15,-3.0
329,89,-113.0
330,54,-51.0
331,27,-15.0
332,33,-21.0
333,97,-121.0
334,64,-52.0
335,15,-3.0
336,49,-55.0
337,48,-45.0
338,40,-37.0
339,44,-23.0
340,28,-16.0
341,63,-60.0
342,37,-25.0
343,49,-46.0
344,118,-142.0
345,43,-40.0
346,19,2.0
347,36,-33.0
348,9,12.0
349,79,-85.0
350,9,3.0
351,44,-41.0
352,57,-36.0
353,16,5.0
354,59,-47.0
355,52,-58.0
356,11,10.0
357,18,-6.0
358,31,-10.0
359,22,-19.0
360,28,-7.0
361,56,-35.0
362,7,14.0
363,18,-6.0
364,98,-140.0
365,70,-76.0
366,17,4.0
367,20,-8.0
368,22,-1.0
369,48,-27.0
370,22,-10.0
371,20,1.0
372,7,14.0
373,10,2.0
374,137,-251.0
375,10,11.0
376,9,12.0
377,17,4.0
