episode,steps,return
1,200,-623.0
2,200,-614.0
3,200,-605.0
4,170,-419.0
5,200,-623.0
6,200,-578.0
7,200,-578.0
8,189,-447.0
9,200,-578.0
10,200,-380.0
11,200,-488.0
12,200,-335.0
13,200,-344.0
14,200,-641.0
15,200,-560.0
16,200,-461.0
17,200,-236.0
18,200,-218.0
19,200,-290.0
20,200,-281.0
21,200,-623.0
22,200,-227.0
23,200,-281.0
24,139,-271.0
25,200,-362.0
26,174,-252.0
27,200,-290.0
28,200,-281.0
29,200,-236.0
30,200,-272.0
31,200,-542.0
32,200,-227.0
33,200,-371.0
34,99,-132.0
35,74,-89.0
36,200,-272.0
37,200,-623.0
38,200,-236.0
39,200,-263.0
40,200,-614.0
41,200,-263.0
42,200,-398.0
43,200,-254.0
44,40,-46.0
45,200,-326.0
46,192,-270.0
47,200,-254.0
48,200,-335.0
49,200,-236.0
50,200,-299.0
51,52,-103.0
52,200,-236.0
53,200,-263.0
54,106,-112.0
55,200,-308.0
56,113,-101.0
57,198,-204.0
58,200,-272.0
59,200,-263.0
60,200,-326.0
61,200,-272.0
62,200,-281.0
63,200,-263.0
64,199,-250.0
65,200,-227.0
66,200,-263.0
67,176,-236.0
68,156,-216.0
69,200,-290.0
70,200,-236.0
71,165,-189.0
72,200,-281.0
73,200,-290.0
74,35,-23.0
75,40,-46.0
76,121,-118.0
77,200,-242.0
78,63,-69.0
79,154,-205.0
80,200,-254.0
81,158,-182.0
82,86,-101.0
83,200,-326.0
84,200,-380.0
85,12,0.0
86,110,-134.0
87,91,-178.0
88,200,-263.0
89,158,-182.0
90,91,-106.0
91,200,-470.0
92,200,-242.0
93,200,-263.0
94,200,-254.0
95,200,-290.0
96,176,-218.0
97,200,-263.0
98,200,-245.0
99,200,-236.0
100,200,-326.0
101,60,-48.0
102,200,-245.0
103,36,-15.0
104,134,-176.0
105,200,-290.0
106,153,-177.0
107,200,-416.0
108,200,-380.0
109,11,1.0
110,200,-263.0
111,146,-188.0
112,143,-158.0
113,194,-209.0
114,15,6.0
115,124,-130.0
116,144,-177.0
117,200,-407.0
118,200,-263.0
119,144,-240.0
120,200,-380.0
121,200,-389.0
122,124,-193.0
123,200,-299.0
124,105,-102.0
125,200,-371.0
126,51,-39.0
127,133,-139.0
128,177,-219.0
129,149,-245.0
130,200,-272.0
131,127,-169.0
132,200,-353.0
133,192,-315.0
134,200,-290.0
135,121,-136.0
136,200,-452.0
137,78,-75.0
138,137,-170.0
139,95,-110.0
140,200,-263.0
141,129,-171.0
142,15,-3.0
143,200,-245.0
144,111,-144.0
145,200,-263.0
146,149,-209.0
147,57,-54.0
148,79,-85.0
149,37,-34.0
150,114,-147.0
151,163,-205.0
152,105,-120.0
153,72,-69.0
154,66,-72.0
155,147,-162.0
156,93,-108.0
157,157,-181.0
