episode,steps,return
1,200,-668.0
2,200,-668.0
3,200,-686.0
4,153,-492.0
5,200,-650.0
6,200,-659.0
7,200,-677.0
8,200,-533.0
9,200,-542.0
10,200,-389.0
11,200,-524.0
12,200,-443.0
13,114,-255.0
14,200,-578.0
15,200,-659.0
16,200,-371.0
17,200,-407.0
18,200,-371.0
19,200,-335.0
20,200,-506.0
21,200,-659.0
22,200,-317.0
23,200,-470.0
24,200,-587.0
25,159,-453.0
26,200,-569.0
27,200,-407.0
28,200,-353.0
29,200,-416.0
30,200,-452.0
31,200,-578.0
32,200,-479.0
33,200,-362.0
34,200,-416.0
35,200,-344.0
36,200,-335.0
37,62,-185.0
38,161,-347.0
39,200,-362.0
40,200,-560.0
41,185,-326.0
42,200,-533.0
43,200,-398.0
44,200,-380.0
45,200,-317.0
46,200,-344.0
47,200,-389.0
48,200,-344.0
49,200,-308.0
50,200,-425.0
51,200,-380.0
52,200,-335.0
53,200,-398.0
54,200,-362.0
55,200,-389.0
56,200,-425.0
57,200,-371.0
58,127,-268.0
59,200,-461.0
60,200,-353.0
61,200,-362.0
62,200,-371.0
63,200,-416.0
64,200,-335.0
65,158,-308.0
66,200,-434.0
67,200,-416.0
68,200,-344.0
69,200,-434.0
70,185,-353.0
71,200,-326.0
72,200,-398.0
73,200,-407.0
74,200,-353.0
75,200,-371.0
76,192,-360.0
77,200,-353.0
78,200,-407.0
79,136,-214.0
80,200,-362.0
81,200,-362.0
82,200,-389.0
83,200,-404.0
84,117,-204.0
85,200,-326.0
86,200,-416.0
87,200,-713.0
88,200,-398.0
89,200,-353.0
90,200,-389.0
91,160,-328.0
92,200,-317.0
93,200,-425.0
94,200,-434.0
95,200,-371.0
96,200,-443.0
97,74,-143.0
98,111,-144.0
99,200,-398.0
100,101,-170.0
101,104,-218.0
102,200,-416.0
103,200,-452.0
104,200,-380.0
105,200,-362.0
106,200,-344.0
107,200,-389.0
108,200,-371.0
109,9,12.0
110,167,-308.0
111,200,-407.0
112,200,-353.0
113,98,-167.0
114,200,-407.0
115,103,-136.0
116,160,-355.0
117,200,-488.0
118,200,-344.0
119,134,-329.0
120,200,-425.0
121,200,-416.0
122,92,-125.0
123,200,-371.0
124,200,-380.0
125,200,-344.0
126,182,-341.0
127,121,-163.0
128,200,-353.0
129,200,-353.0
130,200,-371.0
131,200,-434.0
132,138,-252.0
133,200,-353.0
134,54,-105.0
135,200,-416.0
136,127,-187.0
137,200,-362.0
138,200,-380.0
139,200,-371.0
140,200,-425.0
141,200,-362.0
142,200,-362.0
143,200,-434.0
144,200,-326.0
145,200,-362.0
146,198,-330.0
147,200,-353.0
148,200,-371.0
149,200,-371.0
150,73,-124.0
151,113,-155.0
152,85,-127.0
153,200,-452.0
154,148,-280.0
155,142,-238.0
156,200,-380.0
157,200,-398.0
158,200,-470.0
159,200,-362.0
160,200,-344.0
161,200,-389.0
162,125,-185.0
163,146,-206.0
164,63,-69.0
165,200,-353.0
166,69,-111.0
167,86,-164.0
168,200,-362.0
169,200,-371.0
170,165,-279.0
171,134,-248.0
172,72,-87.0
173,102,-198.0
174,66,-135.0
175,200,-308.0
176,185,-335.0
177,49,-109.0
178,200,-371.0
179,200,-335.0
180,200,-371.0
181,200,-371.0
182,104,-164.0
183,200,-398.0
184,200,-389.0
185,200,-353.0
186,200,-380.0
187,45,-51.0
188,200,-488.0
189,154,-250.0
190,200,-362.0
191,114,-183.0
192,46,-52.0
193,130,-181.0
194,151,-274.0
195,60,-48.0
196,200,-407.0
197,88,-130.0
198,200,-398.0
199,160,-265.0
200,30,-45.0
201,200,-434.0
202,125,-212.0
203,200,-380.0
204,164,-278.0
205,200,-344.0
206,200,-389.0
207,154,-313.0
208,200,-335.0
209,150,-300.0
210,200,-362.0
211,182,-260.0
212,200,-380.0
213,93,-144.0
214,200,-380.0
215,81,-114.0
216,200,-461.0
217,173,-305.0
218,59,-92.0
219,200,-308.0
220,200,-398.0
221,200,-380.0
222,100,-151.0
223,164,-305.0
224,126,-258.0
225,13,8.0
226,44,-59.0
227,200,-398.0
228,200,-362.0
229,200,-416.0
230,200,-362.0
231,200,-344.0
232,91,-151.0
233,137,-179.0
234,195,-327.0
235,8,4.0
236,103,-208.0
237,158,-281.0
238,147,-198.0
239,72,-51.0
240,102,-180.0
241,18,-6.0
242,200,-362.0
243,200,-371.0
244,63,-87.0
245,54,-60.0
246,200,-380.0
247,96,-111.0
248,62,-86.0
249,134,-221.0
250,51,-39.0
251,42,-39.0
252,82,-133.0
253,200,-425.0
254,109,-169.0
255,144,-285.0
256,92,-143.0
257,200,-398.0
258,200,-407.0
259,200,-326.0
260,163,-268.0
261,200,-371.0
262,200,-371.0
263,200,-344.0
264,105,-201.0
265,75,-117.0
266,148,-253.0
267,144,-240.0
268,198,-348.0
269,52,-67.0
270,200,-353.0
271,200,-353.0
272,83,-89.0
273,200,-443.0
274,171,-276.0
275,55,-70.0
276,75,-189.0
277,31,-28.0
278,92,-161.0
279,116,-203.0
280,200,-398.0
281,200,-335.0
282,200,-380.0
283,23,-38.0
284,123,-165.0
285,51,-66.0
286,200,-308.0
287,200,-371.0
288,158,-290.0
289,200,-353.0
290,62,-77.0
291,66,-90.0
292,200,-353.0
293,14,-2.0
294,200,-344.0
295,200,-425.0
296,195,-354.0
297,200,-416.0
298,161,-257.0
299,80,-140.0
300,113,-200.0
301,189,-366.0
302,200,-344.0
303,36,-69.0
304,200,-398.0
305,130,-217.0
306,74,-134.0
307,168,-246.0
308,142,-238.0
309,143,-176.0
310,145,-223.0
311,200,-326.0
312,200,-371.0
313,187,-382.0
314,69,-93.0
315,91,-142.0
316,115,-229.0
317,109,-187.0
318,17,-5.0
319,200,-389.0
320,66,-72.0
321,200,-317.0
322,18,-6.0
323,200,-344.0
324,57,-63.0
325,109,-214.0
326,27,-33.0
327,108,-168.0
328,75,-72.0
329,132,-219.0
330,109,-133.0
331,196,-355.0
332,83,-143.0
333,167,-299.0
334,59,-74.0
335,159,-237.0
336,50,-47.0
337,105,-183.0
338,139,-226.0
339,71,-113.0
340,128,-206.0
341,88,-130.0
342,184,-352.0
343,200,-407.0
344,200,-380.0
345,106,-112.0
346,126,-177.0
347,126,-204.0
348,24,-39.0
349,74,-80.0
350,6,15.0
351,176,-362.0
352,200,-443.0
353,84,-108.0
354,114,-192.0
355,93,-180.0
356,39,-36.0
357,23,-11.0
358,72,-96.0
359,67,-100.0
360,65,-125.0
361,151,-220.0
362,15,-12.0
363,36,-42.0
364,54,-78.0
365,131,-272.0
366,64,-97.0
367,103,-145.0
368,131,-236.0
369,22,-28.0
370,50,-74.0
371,71,-95.0
372,9,3.0
373,26,-14.0
374,200,-470.0
375,32,-56.0
376,19,-7.0
377,77,-119.0
378,88,-148.0
379,100,-160.0
380,99,-177.0
381,117,-186.0
382,13,8.0
383,200,-344.0
384,183,-360.0
385,132,-255.0
386,200,-344.0
387,200,-407.0
388,20,-35.0
389,200,-398.0
390,86,-155.0
391,120,-243.0
392,73,-142.0
393,100,-124.0
394,167,-326.0
395,118,-214.0
396,14,-2.0
397,177,-291.0
398,30,-9.0
399,133,-256.0
400,11,1.0
401,29,-26.0
402,74,-134.0
403,106,-184.0
404,57,-99.0
405,200,-344.0
406,200,-380.0
407,200,-344.0
408,66,-99.0
409,157,-289.0
410,162,-303.0
411,16,-4.0
412,200,-398.0
413,53,-104.0
414,75,-126.0
415,108,-150.0
416,33,-48.0
417,200,-380.0
418,50,-56.0
419,36,-69.0
420,152,-275.0
421,62,-68.0
422,102,-135.0
423,59,-83.0
424,118,-223.0
425,95,-218.0
426,103,-199.0
427,40,-55.0
428,195,-381.0
429,30,-9.0
430,121,-163.0
431,16,-13.0
432,46,-70.0
433,53,-104.0
434,122,-218.0
435,114,-165.0
436,74,-170.0
437,54,-78.0
438,39,-72.0
439,92,-170.0
440,155,-242.0
441,88,-130.0
442,200,-344.0
443,175,-397.0
444,20,-17.0
445,87,-138.0
446,26,-50.0
447,153,-312.0
448,88,-139.0
449,35,-50.0
450,123,-156.0
451,200,-380.0
452,200,-335.0
453,117,-213.0
454,125,-194.0
455,110,-161.0
456,79,-112.0
457,68,-92.0
458,93,-108.0
459,200,-362.0
460,10,11.0
461,37,-34.0
462,135,-258.0
463,126,-186.0
464,45,-69.0
465,23,-11.0
466,88,-130.0
467,11,10.0
468,10,11.0
469,32,-38.0
470,200,-371.0
471,10,2.0
472,186,-327.0
473,46,-61.0
474,44,-68.0
475,106,-193.0
476,68,-83.0
477,159,-282.0
478,200,-344.0
479,99,-168.0
480,24,-21.0
481,129,-243.0
482,27,-51.0
483,35,-59.0
484,33,-21.0
485,9,12.0
486,42,-39.0
487,60,-48.0
488,42,-84.0
489,31,-37.0
490,68,-110.0
491,118,-196.0
492,48,-81.0
493,12,9.0
494,90,-159.0
495,18,-6.0
496,84,-144.0
497,53,-59.0
498,26,-23.0
499,56,-89.0
500,42,-48.0
501,56,-62.0
502,107,-167.0
503,70,-130.0
504,124,-220.0
505,56,-116.0
506,66,-81.0
507,44,-41.0
508,200,-470.0
509,130,-217.0
510,36,-33.0
511,137,-233.0
512,200,-380.0
513,13,8.0
514,100,-115.0
515,112,-154.0
516,62,-95.0
517,32,-29.0
518,20,-17.0
519,48,-90.0
520,21,-9.0
521,157,-298.0
522,67,-118.0
523,12,0.0
524,80,-122.0
525,101,-188.0
526,98,-149.0
527,13,-1.0
528,40,-46.0
529,200,-389.0
530,71,-104.0
531,25,-31.0
532,74,-116.0
533,51,-102.0
534,50,-83.0
535,70,-121.0
536,81,-186.0
537,73,-106.0
538,62,-68.0
539,8,13.0
540,189,-411.0
541,121,-172.0
542,141,-255.0
543,113,-173.0
544,200,-389.0
545,17,-5.0
546,37,-52.0
547,14,-20.0
548,59,-92.0
549,33,-39.0
550,24,-21.0
551,72,-123.0
552,83,-170.0
553,27,-24.0
554,200,-326.0
555,27,-33.0
556,9,3.0
557,86,-119.0
558,200,-380.0
559,102,-153.0
560,18,3.0
561,90,-141.0
562,31,-19.0
563,105,-138.0
564,28,-43.0
565,40,-64.0
566,32,-47.0
567,44,-59.0
568,33,-21.0
569,200,-380.0
570,68,-119.0
571,41,-38.0
572,114,-210.0
573,126,-177.0
574,11,1.0
575,17,-5.0
576,116,-185.0
577,14,7.0
578,29,-53.0
579,31,-37.0
580,45,-51.0
581,200,-326.0
582,9,-6.0
583,85,-145.0
584,116,-167.0
585,53,-77.0
586,24,-30.0
587,97,-175.0
588,66,-90.0
589,48,-90.0
590,42,-66.0
591,44,-50.0
592,21,-18.0
593,159,-291.0
594,17,-23.0
595,29,-35.0
596,66,-144.0
597,158,-236.0
598,33,-21.0
599,23,-11.0
600,51,-57.0
601,22,-10.0
602,18,-6.0
603,75,-81.0
604,83,-152.0
605,73,-115.0
606,17,-14.0
607,33,-21.0
608,15,-30.0
609,39,-72.0
610,29,-26.0
611,20,1.0
612,200,-362.0
613,56,-116.0
614,20,-35.0
615,14,-20.0
616,200,-407.0
617,11,1.0
618,75,-99.0
619,91,-124.0
620,57,-81.0
621,18,3.0
622,97,-175.0
623,10,-7.0
624,130,-190.0
625,20,-17.0
626,86,-137.0
627,22,-19.0
628,195,-318.0
629,41,-56.0
630,49,-100.0
631,46,-61.0
632,11,1.0
633,67,-91.0
634,200,-398.0
635,35,-23.0
636,75,-108.0
637,46,-61.0
638,19,-7.0
639,64,-151.0
640,41,-65.0
641,12,0.0
642,23,-11.0
643,11,10.0
644,34,-49.0
645,13,-1.0
646,42,-57.0
647,11,1.0
648,35,-59.0
649,40,-46.0
650,132,-201.0
651,26,-32.0
652,20,-8.0
653,90,-159.0
654,76,-109.0
655,113,-218.0
656,170,-248.0
657,104,-164.0
658,42,-48.0
659,53,-50.0
660,122,-182.0
661,118,-277.0
662,11,1.0
663,25,-13.0
664,58,-100.0
665,32,-38.0
666,42,-84.0
667,29,-26.0
668,56,-89.0
669,49,-82.0
670,37,-70.0
671,14,-20.0
672,75,-108.0
673,19,-7.0
674,123,-183.0
675,52,-85.0
676,31,-37.0
677,36,-51.0
678,189,-474.0
679,90,-150.0
680,17,4.0
681,31,-10.0
682,15,6.0
683,15,6.0
684,20,-26.0
685,20,-35.0
686,12,0.0
687,110,-134.0
688,18,-6.0
689,51,-84.0
690,8,13.0
