episode,steps,return
1,200,-740.0
2,200,-704.0
3,119,-404.0
4,200,-407.0
5,200,-668.0
6,200,-578.0
7,200,-641.0
8,200,-479.0
9,200,-497.0
10,200,-389.0
11,200,-488.0
12,200,-371.0
13,200,-317.0
14,200,-713.0
15,200,-560.0
16,200,-560.0
17,200,-344.0
18,200,-272.0
19,200,-389.0
20,134,-203.0
21,200,-650.0
22,200,-461.0
23,200,-425.0
24,188,-410.0
25,200,-317.0
26,200,-272.0
27,200,-380.0
28,200,-371.0
29,200,-362.0
30,94,-127.0
31,200,-632.0
32,200,-281.0
33,200,-344.0
34,198,-438.0
35,200,-317.0
36,200,-335.0
37,200,-650.0
38,200,-335.0
39,200,-344.0
40,200,-650.0
41,200,-281.0
42,200,-515.0
43,200,-452.0
44,200,-326.0
45,200,-299.0
46,200,-317.0
47,100,-133.0
48,200,-281.0
49,189,-258.0
50,200,-326.0
51,200,-344.0
52,200,-362.0
53,200,-308.0
54,170,-266.0
55,200,-335.0
56,127,-196.0
57,200,-371.0
58,62,-86.0
59,200,-272.0
60,200,-335.0
61,200,-362.0
62,200,-308.0
63,200,-326.0
64,200,-281.0
65,200,-380.0
66,200,-326.0
67,200,-371.0
68,200,-317.0
69,200,-362.0
70,200,-326.0
71,125,-221.0
72,200,-317.0
73,200,-308.0
74,174,-261.0
75,200,-308.0
76,200,-335.0
77,200,-290.0
78,100,-133.0
79,200,-308.0
80,151,-238.0
81,200,-272.0
82,200,-308.0
83,200,-326.0
84,200,-308.0
85,14,7.0
86,200,-353.0
87,200,-407.0
88,200,-317.0
89,200,-344.0
90,200,-371.0
91,200,-353.0
92,200,-290.0
93,200,-353.0
94,200,-326.0
95,200,-389.0
96,200,-344.0
97,200,-299.0
98,200,-290.0
99,200,-317.0
100,200,-326.0
101,175,-244.0
102,147,-243.0
103,191,-260.0
104,96,-102.0
105,200,-326.0
106,200,-335.0
107,200,-326.0
108,200,-380.0
109,27,-33.0
110,200,-308.0
111,200,-299.0
112,145,-223.0
113,115,-139.0
114,200,-335.0
115,137,-179.0
116,67,-64.0
117,200,-362.0
118,112,-163.0
119,199,-331.0
120,200,-389.0
121,200,-344.0
122,94,-136.0
123,200,-344.0
124,200,-344.0
125,200,-344.0
126,148,-235.0
127,200,-326.0
128,121,-118.0
129,194,-263.0
130,47,-44.0
131,140,-209.0
132,200,-344.0
133,200,-335.0
134,140,-155.0
135,200,-299.0
136,200,-317.0
137,200,-317.0
138,200,-344.0
139,157,-280.0
140,200,-281.0
141,61,-76.0
142,200,-290.0
143,200,-317.0
144,111,-126.0
145,200,-344.0
146,200,-344.0
147,52,-67.0
148,200,-335.0
149,200,-407.0
150,23,-20.0
151,200,-344.0
152,200,-344.0
153,82,-106.0
154,200,-254.0
155,174,-243.0
156,200,-335.0
157,51,-75.0
158,155,-215.0
159,55,-70.0
160,74,-80.0
161,200,-344.0
162,200,-344.0
163,200,-308.0
164,166,-298.0
165,45,-51.0
166,158,-200.0
167,13,8.0
168,200,-335.0
169,200,-299.0
170,200,-344.0
171,188,-266.0
172,200,-344.0
173,200,-317.0
174,200,-299.0
175,200,-263.0
176,152,-176.0
177,200,-344.0
178,71,-95.0
179,97,-112.0
180,175,-298.0
181,200,-305.0
182,200,-326.0
183,190,-259.0
184,200,-308.0
185,200,-317.0
186,132,-147.0
187,94,-136.0
188,44,-50.0
189,200,-353.0
190,200,-335.0
191,154,-205.0
192,200,-344.0
193,200,-416.0
194,40,-28.0
195,65,-62.0
196,64,-70.0
197,200,-272.0
198,200,-299.0
199,148,-181.0
200,200,-335.0
201,59,-47.0
202,177,-273.0
203,49,-37.0
204,188,-239.0
205,128,-170.0
206,135,-159.0
207,200,-344.0
208,200,-335.0
209,194,-272.0
210,51,-66.0
211,134,-167.0
212,65,-62.0
213,157,-199.0
214,200,-371.0
215,197,-320.0
216,200,-353.0
217,200,-326.0
218,200,-362.0
219,189,-366.0
220,200,-362.0
221,200,-362.0
222,100,-205.0
223,165,-288.0
224,127,-196.0
225,80,-95.0
226,56,-71.0
227,59,-74.0
228,187,-238.0
229,179,-212.0
230,200,-299.0
231,193,-280.0
232,200,-362.0
233,78,-75.0
234,200,-317.0
235,7,14.0
236,102,-135.0
237,165,-288.0
238,165,-189.0
239,200,-362.0
240,29,-17.0
241,90,-132.0
242,200,-326.0
243,106,-175.0
244,17,-23.0
245,116,-140.0
246,90,-105.0
247,73,-97.0
248,200,-353.0
249,106,-112.0
250,200,-353.0
251,200,-308.0
252,88,-94.0
253,200,-326.0
254,49,-55.0
255,200,-263.0
256,116,-167.0
257,62,-86.0
258,117,-150.0
259,153,-177.0
260,200,-353.0
261,100,-151.0
262,200,-308.0
263,133,-184.0
264,114,-201.0
265,179,-293.0
266,200,-371.0
267,22,-1.0
268,128,-179.0
269,181,-232.0
270,56,-98.0
271,200,-263.0
272,158,-200.0
273,110,-116.0
274,147,-216.0
275,26,-23.0
276,73,-106.0
277,200,-344.0
278,103,-145.0
279,175,-244.0
280,147,-189.0
281,200,-380.0
282,200,-335.0
283,44,-59.0
284,81,-132.0
285,23,-20.0
286,200,-317.0
287,82,-115.0
288,83,-125.0
289,200,-308.0
290,20,1.0
291,27,-15.0
292,178,-310.0
293,102,-117.0
294,200,-416.0
295,200,-335.0
296,200,-281.0
297,68,-101.0
298,129,-198.0
299,30,-27.0
300,126,-177.0
301,54,-69.0
302,200,-335.0
303,164,-215.0
304,39,-27.0
305,200,-299.0
306,57,-63.0
307,131,-182.0
308,129,-198.0
309,81,-96.0
310,96,-156.0
311,171,-258.0
312,147,-198.0
313,128,-188.0
314,188,-275.0
315,173,-251.0
316,110,-143.0
317,200,-344.0
318,112,-199.0
319,200,-335.0
320,74,-125.0
321,101,-143.0
322,32,-47.0
323,200,-380.0
324,21,-9.0
325,147,-252.0
326,26,-23.0
327,58,-64.0
328,111,-126.0
329,200,-398.0
330,75,-81.0
331,146,-215.0
332,87,-120.0
333,148,-244.0
334,80,-122.0
335,133,-193.0
336,74,-80.0
337,73,-124.0
338,73,-70.0
339,159,-246.0
340,127,-196.0
341,80,-104.0
342,185,-290.0
343,63,-78.0
344,175,-244.0
345,49,-55.0
346,130,-172.0
347,109,-178.0
348,36,-24.0
349,124,-184.0
350,12,0.0
351,169,-256.0
352,87,-111.0
353,12,0.0
354,173,-260.0
355,136,-178.0
356,200,-272.0
357,89,-104.0
358,60,-66.0
359,48,-63.0
360,174,-252.0
361,200,-344.0
362,8,13.0
363,101,-116.0
364,105,-201.0
365,43,-58.0
366,65,-116.0
367,73,-79.0
368,83,-116.0
369,155,-233.0
370,59,-74.0
371,43,-49.0
372,7,14.0
373,44,-68.0
374,196,-283.0
375,77,-119.0
376,9,12.0
377,100,-169.0
378,64,-70.0
379,21,-27.0
380,176,-281.0
381,90,-141.0
382,29,-17.0
383,136,-187.0
384,200,-362.0
385,82,-106.0
386,68,-56.0
387,152,-203.0
388,77,-119.0
389,142,-184.0
390,53,-50.0
391,106,-166.0
392,89,-113.0
393,126,-186.0
394,38,-53.0
395,82,-115.0
396,38,-35.0
397,34,-31.0
398,50,-65.0
399,52,-67.0
400,9,12.0
401,15,6.0
402,173,-242.0
403,23,-2.0
