episode,steps,return
1,200,-596.0
2,200,-596.0
3,200,-578.0
4,200,-587.0
5,200,-614.0
6,200,-596.0
7,200,-641.0
8,200,-434.0
9,200,-425.0
10,200,-281.0
11,200,-533.0
12,200,-308.0
13,50,-101.0
14,200,-587.0
15,200,-587.0
16,151,-346.0
17,200,-254.0
18,200,-281.0
19,200,-335.0
20,187,-310.0
21,200,-596.0
22,200,-272.0
23,200,-371.0
24,200,-425.0
25,200,-236.0
26,200,-470.0
27,200,-236.0
28,200,-227.0
29,200,-281.0
30,200,-245.0
31,200,-470.0
32,200,-263.0
33,147,-180.0
34,200,-416.0
35,200,-263.0
36,117,-231.0
37,200,-659.0
38,200,-272.0
39,200,-272.0
40,200,-587.0
41,40,-19.0
42,200,-452.0
43,168,-183.0
44,25,-13.0
45,200,-245.0
46,163,-232.0
47,200,-227.0
48,141,-174.0
49,200,-299.0
50,200,-245.0
51,200,-236.0
52,200,-263.0
53,200,-245.0
54,127,-169.0
55,200,-308.0
56,200,-227.0
57,200,-335.0
58,200,-245.0
59,200,-263.0
60,186,-219.0
61,169,-238.0
62,200,-272.0
63,200,-272.0
64,200,-317.0
65,200,-290.0
66,200,-299.0
67,200,-371.0
68,200,-272.0
69,147,-180.0
70,62,-50.0
71,159,-228.0
72,200,-272.0
73,200,-245.0
74,35,-32.0
75,157,-172.0
76,200,-227.0
77,85,-127.0
78,38,-26.0
79,179,-212.0
80,200,-245.0
81,84,-63.0
82,149,-155.0
83,200,-425.0
84,200,-416.0
85,20,-8.0
86,181,-304.0
87,200,-344.0
88,200,-272.0
89,136,-142.0
90,21,-9.0
91,177,-273.0
92,126,-159.0
93,200,-227.0
94,200,-317.0
95,200,-317.0
96,150,-246.0
97,191,-242.0
98,200,-236.0
99,200,-263.0
100,166,-208.0
101,55,-52.0
102,169,-211.0
103,200,-272.0
104,200,-335.0
105,200,-416.0
106,200,-389.0
107,200,-380.0
108,119,-125.0
109,31,-28.0
110,166,-181.0
111,200,-263.0
112,197,-239.0
113,200,-272.0
114,200,-335.0
115,143,-185.0
116,200,-281.0
117,200,-371.0
118,177,-255.0
119,23,-11.0
120,181,-286.0
121,200,-371.0
122,154,-295.0
123,48,-45.0
124,40,-19.0
125,199,-385.0
126,163,-250.0
127,200,-290.0
128,52,-49.0
129,200,-299.0
130,116,-122.0
131,32,-38.0
132,182,-269.0
133,200,-227.0
134,111,-135.0
135,200,-317.0
136,172,-277.0
137,81,-69.0
138,99,-105.0
139,67,-100.0
140,93,-99.0
141,135,-123.0
142,14,7.0
143,183,-225.0
144,169,-220.0
145,200,-254.0
146,157,-199.0
147,137,-152.0
148,200,-254.0
149,89,-122.0
150,155,-188.0
151,200,-335.0
152,149,-236.0
153,200,-218.0
154,200,-290.0
155,200,-254.0
156,35,-14.0
157,125,-140.0
158,65,-62.0
159,64,-43.0
160,27,-15.0
161,186,-219.0
162,91,-97.0
163,127,-160.0
164,193,-235.0
165,194,-227.0
166,110,-134.0
167,9,12.0
168,127,-133.0
169,69,-84.0
170,200,-281.0
171,41,-29.0
172,144,-141.0
173,59,-47.0
174,145,-169.0
175,200,-254.0
176,128,-161.0
177,113,-146.0
178,170,-203.0
179,54,-78.0
180,64,-52.0
181,28,-25.0
182,69,-84.0
183,57,-54.0
184,89,-95.0
185,200,-272.0
