episode,steps,return
1,200,-713.0
2,200,-758.0
3,200,-704.0
4,200,-668.0
5,200,-686.0
6,200,-686.0
7,200,-650.0
8,200,-416.0
9,200,-443.0
10,200,-398.0
11,200,-461.0
12,200,-398.0
13,46,-97.0
14,200,-686.0
15,200,-659.0
16,200,-695.0
17,200,-425.0
18,200,-416.0
19,200,-461.0
20,121,-226.0
21,200,-695.0
22,200,-335.0
23,200,-524.0
24,200,-470.0
25,200,-344.0
26,200,-362.0
27,200,-416.0
28,200,-443.0
29,200,-362.0
30,200,-425.0
31,200,-605.0
32,200,-470.0
33,200,-407.0
34,200,-353.0
35,119,-233.0
36,200,-371.0
37,179,-617.0
38,200,-371.0
39,200,-344.0
40,200,-659.0
41,200,-362.0
42,200,-578.0
43,200,-398.0
44,200,-443.0
45,200,-371.0
46,50,-65.0
47,49,-64.0
48,200,-371.0
49,200,-398.0
50,200,-407.0
51,200,-371.0
52,200,-371.0
53,200,-434.0
54,200,-344.0
55,200,-524.0
56,200,-434.0
57,127,-223.0
58,200,-389.0
59,70,-130.0
60,200,-344.0
61,200,-335.0
62,200,-290.0
63,200,-389.0
64,200,-353.0
65,174,-369.0
66,200,-362.0
67,116,-203.0
68,200,-389.0
69,200,-380.0
70,200,-443.0
71,200,-371.0
72,200,-362.0
73,200,-470.0
74,200,-461.0
75,120,-234.0
76,200,-380.0
77,200,-407.0
78,44,-50.0
79,192,-324.0
80,131,-227.0
81,143,-275.0
82,200,-344.0
83,200,-380.0
84,200,-389.0
85,200,-344.0
86,200,-416.0
87,154,-376.0
88,200,-371.0
89,200,-389.0
90,200,-416.0
91,54,-69.0
92,200,-434.0
93,200,-371.0
94,200,-362.0
95,200,-416.0
96,200,-452.0
97,141,-273.0
98,200,-479.0
99,120,-180.0
100,200,-335.0
101,200,-362.0
102,200,-434.0
103,200,-326.0
104,200,-380.0
105,189,-357.0
106,200,-344.0
107,200,-398.0
108,200,-317.0
109,12,9.0
110,68,-110.0
111,200,-353.0
112,200,-362.0
113,200,-407.0
114,200,-371.0
115,134,-212.0
116,56,-62.0
117,200,-380.0
118,200,-389.0
119,126,-204.0
120,200,-299.0
121,200,-488.0
122,101,-134.0
123,200,-425.0
124,200,-335.0
125,200,-443.0
126,200,-398.0
127,137,-233.0
128,95,-155.0
129,200,-425.0
130,187,-355.0
131,191,-323.0
132,49,-64.0
133,200,-407.0
134,200,-317.0
135,200,-434.0
136,200,-398.0
137,200,-353.0
138,200,-344.0
139,200,-380.0
140,200,-407.0
141,89,-131.0
142,137,-224.0
143,200,-416.0
144,200,-416.0
145,200,-353.0
146,200,-344.0
147,58,-91.0
148,77,-101.0
149,200,-335.0
150,200,-380.0
151,200,-380.0
152,122,-182.0
153,200,-290.0
154,200,-380.0
155,124,-220.0
156,200,-380.0
157,47,-71.0
158,54,-60.0
159,105,-183.0
160,200,-398.0
161,200,-443.0
162,143,-248.0
163,85,-145.0
164,200,-371.0
165,200,-389.0
166,165,-207.0
167,200,-344.0
168,200,-452.0
169,59,-110.0
170,200,-398.0
171,53,-86.0
172,200,-416.0
173,200,-461.0
174,200,-380.0
175,200,-389.0
176,118,-223.0
177,200,-281.0
178,152,-230.0
179,146,-287.0
180,200,-344.0
181,47,-53.0
182,200,-425.0
183,81,-105.0
184,200,-353.0
185,200,-353.0
186,200,-407.0
187,200,-425.0
188,138,-207.0
189,73,-151.0
190,200,-398.0
191,129,-180.0
192,200,-326.0
193,200,-344.0
194,167,-263.0
195,80,-131.0
196,58,-64.0
197,135,-231.0
198,176,-344.0
199,165,-261.0
200,32,-29.0
201,172,-349.0
202,200,-344.0
203,172,-250.0
204,200,-335.0
205,185,-362.0
206,87,-93.0
207,154,-268.0
208,116,-185.0
209,52,-67.0
210,172,-268.0
211,180,-312.0
212,200,-452.0
213,200,-362.0
214,146,-215.0
215,200,-443.0
216,200,-434.0
217,175,-262.0
218,200,-371.0
219,130,-244.0
220,200,-353.0
221,200,-314.0
222,61,-103.0
223,118,-214.0
224,41,-38.0
225,21,-9.0
226,86,-146.0
227,200,-407.0
228,200,-371.0
229,200,-371.0
230,28,-43.0
231,167,-263.0
232,120,-198.0
233,98,-140.0
234,192,-342.0
235,10,2.0
236,81,-150.0
237,69,-75.0
238,200,-344.0
239,70,-67.0
240,92,-161.0
241,200,-371.0
242,100,-178.0
243,200,-398.0
244,35,-68.0
245,98,-185.0
246,75,-99.0
247,77,-128.0
248,150,-237.0
249,36,-33.0
250,92,-107.0
251,50,-65.0
252,170,-275.0
253,200,-416.0
254,111,-180.0
255,193,-334.0
256,200,-443.0
257,200,-398.0
258,154,-304.0
259,200,-362.0
260,200,-434.0
261,124,-229.0
262,85,-127.0
263,200,-425.0
264,104,-173.0
265,200,-353.0
266,121,-244.0
267,154,-277.0
268,121,-172.0
269,200,-362.0
270,94,-145.0
271,200,-398.0
272,200,-335.0
273,192,-387.0
274,200,-416.0
275,78,-138.0
276,200,-398.0
277,20,-8.0
278,200,-335.0
279,67,-127.0
280,82,-196.0
281,65,-80.0
282,200,-371.0
283,33,-12.0
284,200,-389.0
285,33,-48.0
286,200,-353.0
287,112,-154.0
288,200,-407.0
289,200,-407.0
290,43,-40.0
291,39,-36.0
292,98,-140.0
293,29,-44.0
294,200,-380.0
295,80,-86.0
296,42,-48.0
297,41,-65.0
298,53,-77.0
299,36,-42.0
300,200,-434.0
301,72,-114.0
302,200,-353.0
303,88,-139.0
304,96,-138.0
305,200,-416.0
306,156,-261.0
307,57,-63.0
308,50,-56.0
309,117,-177.0
310,101,-224.0
311,173,-395.0
312,200,-335.0
313,50,-38.0
314,44,-32.0
315,151,-229.0
316,125,-194.0
317,86,-137.0
318,44,-68.0
319,200,-416.0
320,200,-371.0
321,59,-119.0
322,24,-12.0
323,80,-104.0
324,126,-186.0
325,150,-255.0
326,123,-210.0
327,46,-61.0
328,109,-205.0
329,139,-235.0
330,37,-43.0
331,188,-419.0
332,76,-127.0
333,200,-326.0
334,85,-136.0
335,62,-113.0
336,160,-274.0
337,190,-349.0
338,200,-407.0
339,69,-120.0
340,200,-515.0
341,70,-103.0
342,200,-344.0
343,130,-280.0
344,196,-409.0
345,126,-222.0
346,28,-43.0
347,200,-416.0
348,25,-40.0
349,185,-353.0
350,13,8.0
351,175,-289.0
352,134,-203.0
353,78,-111.0
354,174,-297.0
355,61,-103.0
356,200,-371.0
357,31,-37.0
358,89,-149.0
359,35,-41.0
360,70,-94.0
361,200,-398.0
362,38,-26.0
363,155,-305.0
364,200,-407.0
365,84,-135.0
366,110,-179.0
367,49,-64.0
368,105,-174.0
369,65,-71.0
370,18,-6.0
371,111,-162.0
372,10,11.0
373,23,-20.0
374,118,-169.0
375,18,3.0
376,11,1.0
377,81,-159.0
378,162,-267.0
379,40,-37.0
380,61,-58.0
381,48,-45.0
382,56,-98.0
383,198,-357.0
384,76,-109.0
385,110,-197.0
386,200,-380.0
387,200,-389.0
388,18,-33.0
389,194,-362.0
390,63,-123.0
391,78,-75.0
392,175,-370.0
393,102,-117.0
394,90,-132.0
395,175,-379.0
396,50,-65.0
397,78,-120.0
398,61,-85.0
399,78,-138.0
400,8,13.0
401,37,-34.0
402,94,-190.0
403,37,-43.0
404,62,-131.0
405,53,-59.0
406,167,-326.0
407,89,-158.0
408,199,-331.0
409,50,-47.0
410,30,-45.0
411,18,-15.0
412,166,-271.0
413,68,-119.0
414,32,-29.0
415,200,-416.0
416,51,-75.0
417,108,-168.0
418,72,-114.0
419,123,-255.0
420,60,-84.0
421,84,-144.0
422,173,-287.0
423,50,-74.0
424,100,-133.0
425,99,-177.0
426,200,-389.0
427,30,-18.0
428,200,-416.0
429,33,-48.0
430,74,-152.0
431,16,-22.0
432,176,-308.0
433,12,9.0
434,103,-199.0
435,84,-108.0
436,177,-336.0
437,33,-30.0
438,108,-168.0
439,28,-43.0
440,200,-380.0
441,79,-85.0
442,154,-295.0
443,80,-131.0
444,153,-222.0
445,81,-132.0
446,71,-113.0
447,77,-119.0
448,90,-114.0
449,85,-100.0
450,112,-154.0
451,116,-203.0
452,32,-29.0
453,110,-206.0
454,101,-143.0
455,125,-221.0
456,27,-24.0
457,34,-40.0
458,24,-30.0
459,130,-208.0
460,15,6.0
461,10,11.0
462,151,-202.0
463,145,-295.0
464,57,-99.0
465,112,-163.0
466,193,-343.0
467,24,-30.0
468,15,6.0
469,95,-146.0
470,200,-407.0
471,21,-36.0
472,75,-99.0
473,161,-311.0
