episode,steps,return
1,200,-686.0
2,200,-623.0
3,200,-614.0
4,170,-509.0
5,200,-614.0
6,200,-623.0
7,200,-632.0
8,200,-587.0
9,200,-281.0
10,200,-308.0
11,200,-389.0
12,200,-272.0
13,200,-506.0
14,200,-479.0
15,200,-668.0
16,200,-380.0
17,200,-308.0
18,200,-281.0
19,200,-398.0
20,200,-245.0
21,200,-695.0
22,200,-281.0
23,200,-335.0
24,200,-398.0
25,200,-227.0
26,158,-236.0
27,200,-254.0
28,200,-263.0
29,200,-299.0
30,200,-245.0
31,200,-596.0
32,119,-143.0
33,129,-153.0
34,200,-254.0
35,200,-254.0
36,200,-236.0
37,200,-641.0
38,200,-272.0
39,129,-144.0
40,200,-632.0
41,200,-254.0
42,142,-283.0
43,174,-189.0
44,200,-254.0
45,190,-259.0
46,200,-236.0
47,30,-9.0
48,200,-389.0
49,52,-58.0
50,101,-125.0
51,200,-263.0
52,200,-227.0
53,200,-254.0
54,200,-245.0
55,200,-236.0
56,200,-254.0
57,200,-236.0
58,200,-254.0
59,200,-263.0
60,128,-206.0
61,93,-90.0
62,200,-272.0
63,200,-245.0
64,200,-290.0
65,194,-308.0
66,200,-281.0
67,200,-263.0
68,200,-452.0
69,200,-272.0
70,65,-89.0
71,125,-131.0
72,200,-227.0
73,200,-362.0
74,195,-300.0
75,104,-137.0
76,200,-254.0
77,133,-166.0
78,22,-19.0
79,132,-156.0
80,200,-290.0
81,81,-87.0
82,200,-281.0
83,200,-317.0
84,200,-461.0
85,64,-61.0
86,89,-158.0
87,69,-75.0
88,170,-176.0
89,77,-74.0
90,200,-317.0
91,200,-245.0
92,141,-183.0
93,200,-290.0
94,200,-254.0
95,200,-263.0
96,150,-192.0
97,200,-245.0
98,200,-236.0
99,200,-245.0
100,200,-245.0
101,25,-13.0
102,40,-19.0
103,152,-167.0
104,90,-114.0
105,200,-290.0
106,200,-389.0
107,200,-389.0
108,173,-224.0
109,7,14.0
110,200,-254.0
111,200,-236.0
112,57,-54.0
113,200,-254.0
114,99,-78.0
115,200,-254.0
116,54,-87.0
117,200,-290.0
118,200,-425.0
119,81,-96.0
120,187,-283.0
121,200,-452.0
122,51,-75.0
123,119,-197.0
124,86,-74.0
125,198,-339.0
126,42,-48.0
127,200,-299.0
128,191,-233.0
129,200,-281.0
130,133,-193.0
131,109,-106.0
132,123,-165.0
133,200,-425.0
134,180,-222.0
135,200,-290.0
136,123,-246.0
137,186,-210.0
138,172,-295.0
139,99,-114.0
140,115,-130.0
141,191,-233.0
142,29,-17.0
143,29,-8.0
144,181,-196.0
145,155,-179.0
146,79,-94.0
147,124,-175.0
148,200,-263.0
149,126,-141.0
150,115,-148.0
151,195,-309.0
152,123,-111.0
153,200,-227.0
154,98,-113.0
155,63,-51.0
156,48,-36.0
157,85,-91.0
158,92,-116.0
159,200,-272.0
160,33,-12.0
161,98,-113.0
162,166,-190.0
163,92,-107.0
164,163,-178.0
165,105,-120.0
166,160,-184.0
167,7,14.0
168,183,-207.0
169,195,-255.0
170,58,-46.0
171,193,-226.0
172,27,-6.0
173,200,-245.0
174,200,-263.0
175,108,-114.0
176,131,-209.0
177,154,-205.0
178,148,-163.0
179,151,-211.0
180,151,-193.0
181,89,-95.0
182,97,-103.0
183,31,-19.0
184,154,-178.0
185,59,-74.0
186,106,-112.0
187,66,-54.0
188,132,-147.0
189,91,-115.0
190,200,-272.0
191,31,-10.0
192,27,-15.0
193,41,-38.0
194,125,-131.0
195,22,-1.0
196,131,-173.0
197,119,-143.0
198,132,-192.0
199,117,-105.0
200,16,-4.0
201,89,-77.0
202,187,-229.0
203,47,-26.0
204,66,-45.0
205,111,-162.0
206,173,-233.0
207,128,-179.0
208,156,-198.0
209,7,14.0
210,52,-40.0
211,200,-254.0
212,96,-93.0
213,11,10.0
214,86,-74.0
215,74,-62.0
216,163,-214.0
217,167,-182.0
218,47,-35.0
219,54,-60.0
220,159,-201.0
221,40,-37.0
222,58,-55.0
223,36,-33.0
224,59,-74.0
225,7,14.0
226,13,8.0
227,76,-55.0
228,84,-72.0
229,155,-224.0
230,77,-92.0
231,130,-154.0
232,33,-21.0
233,45,-33.0
234,117,-114.0
235,6,15.0
236,17,4.0
237,73,-61.0
238,144,-204.0
239,77,-101.0
240,21,0.0
241,166,-208.0
242,200,-362.0
243,200,-272.0
244,42,-39.0
245,119,-143.0
246,43,-58.0
247,52,-85.0
248,34,-13.0
249,17,-5.0
250,15,6.0
251,59,-83.0
252,28,-25.0
253,147,-171.0
254,105,-147.0
255,100,-142.0
256,58,-46.0
257,142,-130.0
258,37,-43.0
259,36,-33.0
260,103,-163.0
261,85,-82.0
262,161,-167.0
263,173,-296.0
264,51,-30.0
265,98,-122.0
266,95,-119.0
267,38,-26.0
268,82,-88.0
269,33,-21.0
270,34,-22.0
271,125,-185.0
272,91,-70.0
273,88,-94.0
274,120,-144.0
275,8,13.0
276,23,-11.0
277,9,12.0
278,124,-166.0
279,84,-99.0
280,95,-101.0
281,154,-187.0
282,200,-335.0
283,10,11.0
284,64,-70.0
285,22,-1.0
286,63,-78.0
287,200,-290.0
288,46,-43.0
289,135,-132.0
290,9,12.0
291,15,-3.0
292,36,-24.0
293,13,8.0
294,97,-121.0
295,105,-111.0
296,99,-105.0
297,10,11.0
298,37,-16.0
299,10,2.0
300,49,-46.0
301,32,-20.0
302,129,-198.0
303,63,-105.0
304,101,-170.0
305,101,-116.0
306,129,-171.0
307,97,-94.0
308,14,-11.0
309,73,-79.0
310,83,-71.0
311,74,-80.0
312,117,-132.0
313,50,-47.0
314,14,7.0
315,17,4.0
316,103,-118.0
317,33,-39.0
318,9,12.0
319,99,-123.0
320,38,-26.0
321,63,-69.0
322,9,12.0
323,76,-64.0
324,10,11.0
325,21,-18.0
326,14,7.0
327,28,-7.0
328,11,10.0
329,71,-59.0
330,19,2.0
331,14,7.0
332,43,-22.0
333,110,-125.0
334,23,-20.0
335,20,-8.0
336,18,-6.0
337,70,-76.0
338,64,-88.0
339,49,-46.0
340,38,-26.0
341,45,-42.0
342,43,-40.0
343,46,-34.0
344,21,-9.0
345,27,-15.0
346,76,-91.0
347,19,-7.0
348,9,12.0
349,28,-16.0
350,6,15.0
351,34,-31.0
352,17,4.0
353,10,2.0
354,59,-47.0
355,41,-38.0
356,12,9.0
357,19,2.0
358,70,-76.0
359,17,-5.0
360,82,-61.0
361,79,-85.0
362,7,14.0
363,25,-4.0
364,23,-2.0
365,61,-58.0
366,24,-12.0
367,14,-2.0
368,18,-6.0
369,22,-1.0
370,24,-12.0
371,22,-10.0
372,7,14.0
373,9,12.0
374,172,-196.0
375,11,1.0
376,9,12.0
377,15,6.0
378,29,-8.0
379,40,-46.0
380,16,5.0
381,64,-97.0
382,15,-3.0
383,78,-111.0
384,89,-113.0
385,12,9.0
386,102,-144.0
387,36,-15.0
388,11,10.0
389,71,-68.0
390,56,-71.0
391,29,-17.0
392,120,-135.0
393,48,-36.0
394,18,-15.0
395,96,-93.0
396,14,-2.0
397,32,-29.0
398,41,-38.0
399,32,-11.0
400,9,12.0
401,12,9.0
402,26,-5.0
403,13,8.0
404,50,-83.0
405,77,-83.0
406,76,-55.0
407,18,3.0
408,15,6.0
409,38,-17.0
410,16,5.0
411,10,2.0
412,81,-87.0
413,26,-14.0
414,12,0.0
415,64,-70.0
416,17,-5.0
417,49,-37.0
418,18,3.0
419,35,-23.0
420,23,-11.0
421,27,-15.0
422,22,-1.0
423,17,4.0
424,74,-80.0
425,33,-21.0
426,73,-70.0
427,10,11.0
428,91,-88.0
429,12,9.0
430,15,6.0
431,10,11.0
432,20,1.0
433,11,10.0
434,25,-4.0
435,24,-3.0
436,25,-22.0
437,63,-69.0
438,18,-6.0
439,28,-7.0
440,17,4.0
441,26,-5.0
442,88,-103.0
443,42,-48.0
444,12,0.0
445,28,-16.0
446,13,-1.0
447,38,-26.0
448,29,-8.0
449,20,-17.0
450,44,-32.0
451,43,-22.0
452,67,-64.0
453,57,-36.0
454,42,-21.0
455,26,-14.0
456,15,6.0
457,18,-6.0
458,21,0.0
459,81,-114.0
460,9,12.0
461,8,13.0
462,52,-76.0
463,53,-41.0
464,42,-39.0
465,11,10.0
466,19,2.0
467,11,10.0
468,8,13.0
469,12,9.0
470,71,-95.0
471,7,14.0
472,22,-1.0
473,19,-7.0
474,34,-22.0
475,23,-2.0
476,16,5.0
477,48,-36.0
478,77,-83.0
479,15,6.0
480,16,-4.0
481,28,-7.0
482,9,12.0
483,13,8.0
484,12,9.0
485,9,12.0
486,15,-3.0
487,45,-33.0
488,35,-23.0
489,11,1.0
490,52,-40.0
491,31,-28.0
492,20,-35.0
493,11,1.0
494,38,-17.0
495,8,13.0
496,12,9.0
497,14,-2.0
498,33,-12.0
499,27,-6.0
500,19,2.0
501,14,7.0
502,13,8.0
503,33,-12.0
504,12,0.0
505,14,7.0
506,34,-13.0
507,12,0.0
508,36,-33.0
509,41,-20.0
510,25,-4.0
511,65,-62.0
512,32,-11.0
513,12,9.0
514,17,4.0
515,14,7.0
516,28,-43.0
517,28,-7.0
518,12,9.0
519,12,0.0
520,14,7.0
521,18,-6.0
522,17,-5.0
523,10,11.0
524,11,10.0
525,19,2.0
526,41,-47.0
527,11,1.0
528,25,-4.0
529,50,-47.0
530,53,-41.0
531,11,10.0
532,90,-87.0
533,13,-1.0
534,16,-13.0
535,47,-26.0
536,33,-12.0
537,18,-15.0
538,31,-28.0
539,7,14.0
540,33,-48.0
541,38,-35.0
542,15,6.0
543,56,-53.0
544,19,2.0
545,10,2.0
546,13,8.0
547,15,-3.0
548,15,6.0
549,22,-19.0
550,15,6.0
551,18,-15.0
552,15,6.0
553,16,-4.0
554,90,-96.0
555,15,6.0
556,9,12.0
557,21,0.0
558,35,-23.0
559,46,-34.0
560,16,5.0
561,14,7.0
562,18,-6.0
563,16,5.0
564,21,0.0
565,21,0.0
566,10,11.0
567,11,1.0
568,27,-24.0
569,75,-72.0
570,11,10.0
571,21,-9.0
572,26,-14.0
573,21,0.0
574,12,9.0
575,14,-2.0
576,45,-33.0
577,15,6.0
578,22,-10.0
579,21,0.0
580,16,5.0
581,33,-39.0
582,7,14.0
